"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"ApplicationFrameHost","1","507","2203572232192","0","16969728","30048","C:\Windows\system32\ApplicationFrameHost.exe","Microsoft Corporation","0.765625","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Application Frame Host","Microsoft? Windows? Operating System","Process","8",,"False",,"3612","Microsoft.Win32.SafeHandles.SafeProcessHandle","507","4964",".","197428","Microsoft Edge","System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","30048","30048","16969728","16969728","409880","409880","21667840","21667840","27877376","27877376","262451200","2203580674048","True","Normal","16969728","16969728","00:00:00.5312500","ApplicationFrameHost","3","True","1","System.Diagnostics.ProcessStartInfo","11/23/2020 2:51:08 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.7656250","00:00:00.2343750","254009344","2203572232192","False",,,,"0","0",,
"browser_broker","1","181","2203431460864","0","2007040","10736","C:\Windows\system32\browser_broker.exe","Microsoft Corporation","0.03125","11.00.19041.1 (WinBuild.160101.0800)","11.00.19041.1","Browser_Broker","Microsoft? Windows? Operating System","Process","8",,"False",,"3240","Microsoft.Win32.SafeHandles.SafeProcessHandle","181","3460",".","0","","System.Diagnostics.ProcessModule (browser_broker.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","10736","10736","2007040","2007040","156664","156664","2248704","2248704","11091968","11091968","116908032","2203435130880","True","Normal","2007040","2007040","00:00:00.0156250","browser_broker","3","True","1","System.Diagnostics.ProcessStartInfo","11/23/2020 4:30:19 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0312500","00:00:00.0156250","113238016","2203431460864","False",,,,"0","0",,
"conhost","1","98","2203406848000","0","1310720","7744","C:\Windows\system32\conhost.exe","Microsoft Corporation","0.09375","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Console Window Host","Microsoft? Windows? Operating System","Process","8",,"False",,"3852","Microsoft.Win32.SafeHandles.SafeProcessHandle","98","4400",".","0","","System.Diagnostics.ProcessModule (conhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","7744","7744","1310720","1310720","117928","117928","1396736","1396736","5881856","5881856","90198016","2203408420864","True","Normal","1310720","1310720","00:00:00.0312500","conhost","3","True","1","System.Diagnostics.ProcessStartInfo","11/23/2020 3:36:25 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0937500","00:00:00.0625000","88625152","2203406848000","False",,,,"0","0",,
"conhost","1","183","2203467509760","0","7000064","12088","C:\Windows\system32\conhost.exe","Microsoft Corporation","0.109375","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Console Window Host","Microsoft? Windows? Operating System","Process","8",,"False",,"3324","Microsoft.Win32.SafeHandles.SafeProcessHandle","183","6792",".","0","","System.Diagnostics.ProcessModule (conhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","12088","12088","7000064","7000064","191736","191736","7122944","7122944","15671296","15671296","156557312","2203474780160","True","Normal","7000064","7000064","00:00:00.1093750","conhost","3","True","1","System.Diagnostics.ProcessStartInfo","11/23/2020 4:19:29 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1093750","00:00:00","149286912","2203467509760","False",,,,"0","0",,
"csrss","0","368","2203409625088","53248","1683456","14336",,,"0.484375",,,,,"Process","13",,,,,,"368","444",".","0","",,,,,"14336","14336","1683456","1683456","165480","165480","1921024","1921024","5169152","5169152","92913664","2203411136512",,,"1683456","1683456","00:00:00.3593750","csrss",,"True","0","System.Diagnostics.ProcessStartInfo","11/23/2020 2:49:23 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.4843750","00:00:00.1250000","91402240","2203409625088","False",,,,"53248","53248",,
"csrss","1","412","2203428286464","49152","2220032","22096",,,"8.109375",,,,,"Process","13",,,,,,"412","520",".","0","",,,,,"22096","22096","2220032","2220032","203600","203600","9068544","9068544","19210240","19210240","123047936","2203441270784",,,"2220032","2220032","00:00:08.0312500","csrss",,"True","1","System.Diagnostics.ProcessStartInfo","11/23/2020 2:49:24 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:08.1093750","00:00:00.0781250","110063616","2203428286464","False",,,,"49152","49152",,
"ctfmon","1","444","2203462627328","6000640","7696384","16632","C:\Windows\system32\ctfmon.exe","Microsoft Corporation","5.109375","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","CTF Loader","Microsoft? Windows? Operating System","Process","13",,"False",,"3800","Microsoft.Win32.SafeHandles.SafeProcessHandle","444","5716",".","0","","System.Diagnostics.ProcessModule (ctfmon.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","16632","16632","7696384","7696384","200128","200128","7700480","7700480","14954496","14954496","146698240","2203464921088","True","High","7696384","7696384","00:00:03.7812500","ctfmon","3","True","1","System.Diagnostics.ProcessStartInfo","11/23/2020 2:51:15 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:05.1093750","00:00:01.3281250","144404480","2203462627328","False",,,,"6000640","6000640",,
"dllhost","0","257","2203412856832","1150976","3985408","14496","C:\Windows\system32\dllhost.exe","Microsoft Corporation","0.1875","10.0.19041.546 (WinBuild.160101.0800)","10.0.19041.546","COM Surrogate","Microsoft? Windows? Operating System","Process","8",,"False",,"2800","Microsoft.Win32.SafeHandles.SafeProcessHandle","257","1020",".","0","","System.Diagnostics.ProcessModule (dllhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","14496","14496","3985408","3985408","104240","104240","4333568","4333568","14299136","14299136","103022592","2203421245440","True","Normal","3985408","3985408","00:00:00.0312500","dllhost","3","True","0","System.Diagnostics.ProcessStartInfo","11/23/2020 2:50:03 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1875000","00:00:00.1562500","94633984","2203412856832","False",,,,"1150976","1150976",,
"dllhost","1","123","2203405201408","0","1466368","7880","C:\Windows\system32\DllHost.exe","Microsoft Corporation","0.046875","10.0.19041.546 (WinBuild.160101.0800)","10.0.19041.546","COM Surrogate","Microsoft? Windows? Operating System","Process","8",,"False",,"3756","Microsoft.Win32.SafeHandles.SafeProcessHandle","123","4128",".","0","","System.Diagnostics.ProcessModule (DllHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","7880","7880","1466368","1466368","101040","101040","1773568","1773568","7286784","7286784","93286400","2203411509248","True","Normal","1466368","1466368","00:00:00.0312500","dllhost","3","True","1","System.Diagnostics.ProcessStartInfo","11/23/2020 2:50:55 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0468750","00:00:00.0156250","86978560","2203405201408","False",,,,"0","0",,
"dllhost","1","271","2203455090688","0","5332992","23656","C:\Windows\system32\DllHost.exe","Microsoft Corporation","0.125","10.0.19041.546 (WinBuild.160101.0800)","10.0.19041.546","COM Surrogate","Microsoft? Windows? Operating System","Process","8",,"False",,"3876","Microsoft.Win32.SafeHandles.SafeProcessHandle","271","4660",".","0","","System.Diagnostics.ProcessModule (DllHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","23656","23656","5332992","5332992","155600","155600","7323648","7323648","16035840","16035840","149217280","2203467440128","True","Normal","5332992","5332992","00:00:00.0937500","dllhost","3","True","1","System.Diagnostics.ProcessStartInfo","11/23/2020 4:30:21 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1250000","00:00:00.0312500","136867840","2203455090688","False",,,,"0","0",,
