"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"AcroRd32","1","178585","668217344","81174528","352501760","69624","C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe","Adobe Systems Incorporated","27202.75","21.5.20060.443953","21.5.20060.443953","Adobe Acrobat Reader DC ","Adobe Acrobat Reader DC","Process","8",,"False",,"7044","Microsoft.Win32.SafeHandles.SafeProcessHandle","178585","18612",".","135332","MGT514 - Book 3_346140.pdf - Adobe Acrobat Reader DC (32-bit)","System.Diagnostics.ProcessModule (AcroRd32.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","69624","69624","352501760","352501760","3333512","3333512","379891712","379891712","375783424","375783424","698085376","698085376","True","Normal","352501760","352501760","00:43:12.6875000","AcroRd32","255","True","1","System.Diagnostics.ProcessStartInfo","9/12/2021 9:16:14 AM",,"System.Diagnostics.ProcessThreadCollection","07:33:22.7500000","06:50:10.0625000","668217344","668217344","False",,,,"81174528","81174528",,
"AcroRd32","1","634","241520640","28274688","36909056","30232","C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe","Adobe Systems Incorporated","3.0625","21.5.20060.443953","21.5.20060.443953","Adobe Acrobat Reader DC ","Adobe Acrobat Reader DC","Process","8",,"False",,"5660","Microsoft.Win32.SafeHandles.SafeProcessHandle","634","25208",".","0","","System.Diagnostics.ProcessModule (AcroRd32.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","30232","30232","36909056","36909056","269136","269136","37105664","37105664","60059648","60059648","251514880","251514880","True","Normal","36909056","36909056","00:00:01.7343750","AcroRd32","255","True","1","System.Diagnostics.ProcessStartInfo","9/12/2021 9:16:14 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:03.0625000","00:00:01.3281250","241520640","241520640","False",,,,"28274688","28274688",,
"AggregatorHost","0","88","2203376414720","5500928","1478656","6384",,,,,,,,"Process","8",,,,,,"88","6824",".","0","",,,,,"6384","6384","1478656","1478656","51504","51504","1519616","1519616","6172672","6172672","59273216","2203377496064",,,"1478656","1478656",,"AggregatorHost",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"58191872","2203376414720","False",,,,"5500928","5500928",,
"ApplicationFrameHost","1","461","2203618172928","33800192","19681280","28008","C:\WINDOWS\system32\ApplicationFrameHost.exe","Microsoft Corporation","4.953125","10.0.22000.1 (WinBuild.160101.0800)","10.0.22000.1","Application Frame Host","Microsoft? Windows? Operating System","Process","8",,"False",,"2700","Microsoft.Win32.SafeHandles.SafeProcessHandle","461","2900",".","5377420","","System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","28008","28008","19681280","19681280","429248","429248","39174144","39174144","57581568","57581568","323031040","2203641253888","True","Normal","19681280","19681280","00:00:03.2968750","ApplicationFrameHost","255","True","1","System.Diagnostics.ProcessStartInfo","9/9/2021 11:22:51 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:04.9531250","00:00:01.6562500","299950080","2203618172928","False",,,,"33800192","33800192",,
"armsvc","0","127","71012352","7139328","1708032","9776",,,,,,,,"Process","8",,,,,,"127","20436",".","0","",,,,,"9776","9776","1708032","1708032","76840","76840","1916928","1916928","7667712","7667712","74833920","74833920",,,"1708032","1708032",,"armsvc",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"71012352","71012352","False",,,,"7139328","7139328",,
"audiodg","0","239","2203461201920","17276928","8974336","13448",,,"0.203125",,,,,"Process","8",,,,,,"239","28288",".","0","",,,,,"13448","13448","8974336","8974336","175608","175608","19050496","19050496","25423872","25423872","150118400","2203468341248",,,"8974336","8974336","00:00:00.1250000","audiodg",,"True","0","System.Diagnostics.ProcessStartInfo","9/13/2021 11:45:57 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2031250","00:00:00.0781250","142979072","2203461201920","False",,,,"17276928","17276928",,
"chrome","1","243","2237840392192","7102464","2191360","9920","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","0.484375","93.0.4577.63","93.0.4577.63","Google Chrome","Google Chrome","Process","8",,"False",,"1536","Microsoft.Win32.SafeHandles.SafeProcessHandle","243","1560",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","9920","9920","2191360","2191360","132808","132808","2338816","2338816","8224768","8224768","186056704","2237864017920","True","Normal","2191360","2191360","00:00:00.2812500","chrome","255","True","1","System.Diagnostics.ProcessStartInfo","9/9/2021 11:22:34 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.4843750","00:00:00.2031250","162430976","2237840392192","False",,,,"7102464","7102464",,
"chrome","1","2144","2255719817216","246755328","273981440","72432","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","3256.28125","93.0.4577.63","93.0.4577.63","Google Chrome","Google Chrome","Process","8",,"False",,"5908","Microsoft.Win32.SafeHandles.SafeProcessHandle","2144","7296",".","4981830","HTML TABLE - Google Chrome","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","72432","72432","273981440","273981440","1232152","1232152","441790464","441790464","547135488","547135488","1160003584","2256017833984","True","Normal","273981440","273981440","00:23:32","chrome","255","True","1","System.Diagnostics.ProcessStartInfo","9/9/2021 11:22:34 PM",,"System.Diagnostics.ProcessThreadCollection","00:54:16.3125000","00:30:44.3125000","861986816","2255719817216","False",,,,"246755328","246755328",,
"chrome","1","1196","2257825595392","272683008","427814912","48400","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","2353.046875","93.0.4577.63","93.0.4577.63","Google Chrome","Google Chrome","Process","10",,"False",,"7652","Microsoft.Win32.SafeHandles.SafeProcessHandle","1196","12216",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","48400","48400","427814912","427814912","1256808","1256808","1371172864","1371172864","1441685504","1441685504","-569327616","2258583470080","True","AboveNormal","427814912","427814912","00:07:04.4687500","chrome","255","True","1","System.Diagnostics.ProcessStartInfo","9/9/2021 11:22:34 PM",,"System.Diagnostics.ProcessThreadCollection","00:39:13.0468750","00:32:08.5781250","-1327202304","2257825595392","False",,,,"272683008","272683008",,
"chrome","1","273","2259656908800","64962560","30720000","17872","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","1.15625","93.0.4577.63","93.0.4577.63","Google Chrome","Google Chrome","Process","8",,"False",,"5996","Microsoft.Win32.SafeHandles.SafeProcessHandle","273","12524",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","17872","17872","30720000","30720000","542200","542200","65380352","65380352","95264768","95264768","349245440","2263797010432","True","Normal","30720000","30720000","00:00:00.2031250","chrome","255","True","1","System.Diagnostics.ProcessStartInfo","9/13/2021 11:51:54 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.1562500","00:00:00.9531250","504111104","2259656908800","False",,,,"64962560","64962560",,
